depth,sample
13,D20160831T232432_IFCB110
13,D20161004T141218_IFCB110
13,D20160911T140955_IFCB110
13,D20160822T205720_IFCB110
13,D20160903T222326_IFCB110
13,D20160926T141904_IFCB110
13,D20160826T015828_IFCB110
13,D20160819T202410_IFCB110
13,D20161014T190546_IFCB110
13,D20160914T142912_IFCB110
13,D20161014T093701_IFCB110
13,D20160910T140631_IFCB110
13,D20160812T201141_IFCB110
13,D20161013T170339_IFCB110
13,D20161004T163407_IFCB110
13,D20160902T224348_IFCB110
13,D20160901T230409_IFCB110
13,D20161011T064018_IFCB110
13,D20160831T065017_IFCB110
13,D20160821T075250_IFCB110
13,D20160902T180009_IFCB110
13,D20160906T145919_IFCB110
13,D20160911T004448_IFCB110
13,D20160829T170632_IFCB110
13,D20160831T184048_IFCB110
13,D20160930T223542_IFCB110
13,D20160910T191351_IFCB110
13,D20161014T000931_IFCB110
13,D20161005T112900_IFCB110
13,D20160818T230623_IFCB110
13,D20160910T235731_IFCB110
13,D20161014T142041_IFCB110
13,D20160910T235731_IFCB110
13,D20160902T060937_IFCB110
13,D20160820T200331_IFCB110
13,D20160827T121644_IFCB110
13,D20161015T040937_IFCB110
13,D20160819T061151_IFCB110
13,D20161010T114413_IFCB110
13,D20160820T200331_IFCB110
13,D20160819T012812_IFCB110
13,D20160820T151845_IFCB110
13,D20160913T065632_IFCB110
13,D20161001T031921_IFCB110
13,D20161004T141218_IFCB110
13,D20161016T072206_IFCB110
13,D20160828T223425_IFCB110
13,D20161005T020136_IFCB110
13,D20160901T182031_IFCB110
13,D20160822T231909_IFCB110
13,D20161015T054411_IFCB110
13,D20160909T211341_IFCB110
13,D20161015T082939_IFCB110
13,D20160912T121508_IFCB110
13,D20160912T192037_IFCB110
13,D20160926T223527_IFCB110
13,D20160901T111339_IFCB110
13,D20160829T192822_IFCB110
13,D20160919T162849_IFCB110
13,D20160820T151845_IFCB110
13,D20160828T201235_IFCB110
13,D20161017T135332_IFCB110
13,D20160826T194224_IFCB110
13,D20161013T192540_IFCB110
13,D20161003T070446_IFCB110
13,D20161011T174210_IFCB110
13,D20160825T233621_IFCB110
13,D20161014T023126_IFCB110
13,D20161005T205749_IFCB110
13,D20160821T075250_IFCB110
13,D20161010T211131_IFCB110
13,D20161010T092219_IFCB110
13,D20160813T031709_IFCB110
13,D20161015T074222_IFCB110
13,D20160909T211341_IFCB110
13,D20160821T075250_IFCB110
13,D20160826T090406_IFCB110
13,D20161002T121755_IFCB110
13,D20160901T182031_IFCB110
13,D20160903T173947_IFCB110
13,D20160830T032231_IFCB110
13,D20160911T140955_IFCB110
13,D20160910T215919_IFCB110
13,D20160910T202446_IFCB110
13,D20160901T085149_IFCB110
13,D20161011T200359_IFCB110
13,D20160901T040811_IFCB110
13,D20160908T023128_IFCB110
13,D20160907T024953_IFCB110
13,D20161007T195034_IFCB110
13,D20160908T093703_IFCB110
13,D20161015T040937_IFCB110
13,D20160928T222301_IFCB110
13,D20160911T044235_IFCB110
13,D20160821T172007_IFCB110
13,D20161008T122446_IFCB110
13,D20160823T014058_IFCB110
13,D20160819T035001_IFCB110
13,D20160813T124551_IFCB110
13,D20160928T151727_IFCB110
13,D20160910T140631_IFCB110
13,D20160927T195216_IFCB110
13,D20161006T204056_IFCB110
13,D20160812T130602_IFCB110
13,D20161005T205749_IFCB110
13,D20160829T005600_IFCB110
13,D20160831T184048_IFCB110
13,D20161011T015639_IFCB110
13,D20160903T125551_IFCB110
13,D20160819T035001_IFCB110
13,D20160822T002659_IFCB110
13,D20161007T102315_IFCB110
13,D20160825T044023_IFCB110
13,D20161004T042253_IFCB110
13,D20160821T053100_IFCB110
13,D20160811T112756_IFCB110
13,D20160831T210238_IFCB110
13,D20160902T012558_IFCB110
13,D20161002T124133_IFCB110
13,D20160911T114805_IFCB110
13,D20160902T012558_IFCB110
13,D20160901T111339_IFCB110
13,D20160908T115853_IFCB110
13,D20161007T005552_IFCB110
13,D20160825T092402_IFCB110
13,D20160910T204824_IFCB110
13,D20161007T124505_IFCB110
13,D20160911T044235_IFCB110
13,D20161016T142736_IFCB110
13,D20160830T212254_IFCB110
13,D20160901T182031_IFCB110
13,D20160822T073232_IFCB110
13,D20161003T044256_IFCB110
13,D20161005T183554_IFCB110
13,D20160827T121644_IFCB110
13,D20160820T151845_IFCB110
13,D20161005T020136_IFCB110
13,D20160902T034748_IFCB110
13,D20161007T031741_IFCB110
13,D20160827T121644_IFCB110
13,D20160902T105316_IFCB110
13,D20160914T160446_IFCB110
13,D20160907T024953_IFCB110
13,D20160908T190433_IFCB110
13,D20160911T163145_IFCB110
13,D20160908T071508_IFCB110
13,D20160828T060139_IFCB110
13,D20160914T145351_IFCB110
13,D20161001T195141_IFCB110
13,D20160813T080048_IFCB110
13,D20160820T222537_IFCB110
13,D20161003T163328_IFCB110
13,D20160912T050940_IFCB110
13,D20160911T002109_IFCB110
13,D20161011T200359_IFCB110
13,D20160901T085149_IFCB110
13,D20160912T050940_IFCB110
13,D20160911T140955_IFCB110
13,D20161005T042331_IFCB110
13,D20160819T153908_IFCB110
13,D20161004T064448_IFCB110
13,D20161002T115417_IFCB110
13,D20161004T233941_IFCB110
13,D20161011T174210_IFCB110
13,D20160831T184048_IFCB110
13,D20160820T055128_IFCB110
13,D20160830T190105_IFCB110
13,D20161014T164356_IFCB110
13,D20161015T144752_IFCB110
13,D20160930T223542_IFCB110
13,D20160819T061151_IFCB110
13,D20161004T141218_IFCB110
13,D20161014T093701_IFCB110
13,D20161007T124505_IFCB110
13,D20161015T060749_IFCB110
13,D20160908T023128_IFCB110
13,D20160903T125551_IFCB110
13,D20160912T165848_IFCB110
13,D20160902T012558_IFCB110
13,D20160904T030704_IFCB110
13,D20160901T133652_IFCB110
13,D20160831T161859_IFCB110
13,D20160820T081317_IFCB110
13,D20160826T015828_IFCB110
13,D20160910T213541_IFCB110
13,D20160910T140631_IFCB110
13,D20160825T021834_IFCB110
13,D20160913T183628_IFCB110
13,D20160828T152856_IFCB110
13,D20160903T081105_IFCB110
13,D20160826T090406_IFCB110
13,D20161012T141259_IFCB110
13,D20161015T054411_IFCB110
13,D20161004T064448_IFCB110
13,D20160901T230409_IFCB110
13,D20161004T064448_IFCB110
13,D20160910T222258_IFCB110
13,D20161014T045321_IFCB110
13,D20161008T051917_IFCB110
13,D20160910T222258_IFCB110
13,D20160906T123725_IFCB110
13,D20160830T080609_IFCB110
13,D20160903T151758_IFCB110
13,D20160926T223527_IFCB110
13,D20161003T211713_IFCB110
13,D20160912T024750_IFCB110
13,D20160907T002803_IFCB110
13,D20160812T104413_IFCB110
13,D20161005T183554_IFCB110
13,D20161015T071844_IFCB110
13,D20161015T215452_IFCB110
13,D20160908T093703_IFCB110
13,D20160824T041417_IFCB110
13,D20160910T202446_IFCB110
13,D20161014T071511_IFCB110
13,D20160823T210848_IFCB110
13,D20160904T052854_IFCB110
13,D20160910T191351_IFCB110
13,D20161007T080126_IFCB110
13,D20161011T174210_IFCB110
13,D20161009T100627_IFCB110
13,D20160902T060937_IFCB110
13,D20160812T040058_IFCB110
13,D20160902T034748_IFCB110
13,D20160830T212254_IFCB110
13,D20160929T114651_IFCB110
13,D20161011T090207_IFCB110
13,D20160910T215919_IFCB110
13,D20160912T002431_IFCB110
13,D20160812T013904_IFCB110
13,D20160827T143833_IFCB110
13,D20160819T202410_IFCB110
13,D20160901T230409_IFCB110
13,D20160929T004501_IFCB110
13,D20160830T163914_IFCB110
13,D20160911T092615_IFCB110
13,D20161015T063127_IFCB110
13,D20161006T133527_IFCB110
13,D20160813T005520_IFCB110
13,D20160822T095432_IFCB110
13,D20160910T032817_IFCB110
13,D20161003T141139_IFCB110
13,D20161003T163328_IFCB110
13,D20160908T142044_IFCB110
13,D20161007T080126_IFCB110
13,D20161007T150655_IFCB110
13,D20161002T071032_IFCB110
13,D20160830T102758_IFCB110
13,D20160819T012812_IFCB110
13,D20161015T052032_IFCB110
13,D20160903T010537_IFCB110
13,D20160906T172109_IFCB110
13,D20160815T163422_IFCB110
13,D20160813T053859_IFCB110
13,D20160822T161336_IFCB110
13,D20160821T172007_IFCB110
13,D20160812T104413_IFCB110
13,D20161006T084704_IFCB110
13,D20160906T075346_IFCB110
13,D20160831T020633_IFCB110
13,D20160822T024848_IFCB110
13,D20161013T214736_IFCB110
13,D20161003T233903_IFCB110
13,D20160928T222301_IFCB110
13,D20160815T185612_IFCB110
13,D20160813T031709_IFCB110
13,D20160913T205817_IFCB110
13,D20161002T093222_IFCB110
13,D20161015T034559_IFCB110
13,D20160929T004501_IFCB110
13,D20160818T204433_IFCB110
13,D20160913T021243_IFCB110
13,D20160821T172007_IFCB110
13,D20161008T144635_IFCB110
13,D20160907T214748_IFCB110
13,D20161013T214736_IFCB110
13,D20160812T174946_IFCB110
13,D20160911T004448_IFCB110
13,D20160820T151845_IFCB110
13,D20160813T005520_IFCB110
13,D20160908T000938_IFCB110
13,D20160902T034748_IFCB110
13,D20161010T092219_IFCB110
13,D20160911T185335_IFCB110
13,D20161015T060749_IFCB110
13,D20160825T233621_IFCB110
13,D20160905T222627_IFCB110
13,D20160825T044023_IFCB110
13,D20160910T204824_IFCB110
13,D20160902T224348_IFCB110
13,D20160903T173947_IFCB110
13,D20161002T124133_IFCB110
13,D20161002T044837_IFCB110
13,D20160902T060937_IFCB110
13,D20160826T090406_IFCB110
13,D20161008T100256_IFCB110
13,D20160906T075346_IFCB110
13,D20161016T050016_IFCB110
13,D20160830T102758_IFCB110
13,D20161002T151908_IFCB110
13,D20160912T121508_IFCB110
13,D20160913T135244_IFCB110
13,D20160831T065017_IFCB110
13,D20160930T201341_IFCB110
13,D20160912T143658_IFCB110
13,D20161015T091655_IFCB110
13,D20160927T005716_IFCB110
13,D20160825T021834_IFCB110
13,D20160830T032231_IFCB110
13,D20161008T025728_IFCB110
13,D20161010T092219_IFCB110
13,D20160825T114557_IFCB110
13,D20161003T185523_IFCB110
13,D20160819T012812_IFCB110
13,D20160821T030911_IFCB110
13,D20160912T192037_IFCB110
13,D20160902T153819_IFCB110
13,D20161006T040319_IFCB110
13,D20160927T005716_IFCB110
13,D20161015T082939_IFCB110
13,D20160813T053859_IFCB110
13,D20160829T005600_IFCB110
13,D20160812T201141_IFCB110
13,D20161006T155716_IFCB110
13,D20160827T002727_IFCB110
13,D20160831T113356_IFCB110
13,D20160904T004515_IFCB110
13,D20160822T183531_IFCB110
13,D20161013T170339_IFCB110
13,D20160912T002431_IFCB110
13,D20160913T010147_IFCB110
13,D20160903T151758_IFCB110
13,D20160911T044235_IFCB110
13,D20160902T180009_IFCB110
13,D20160812T082059_IFCB110
13,D20161015T215452_IFCB110
13,D20161011T090207_IFCB110
13,D20160911T070425_IFCB110
13,D20161002T121755_IFCB110
13,D20160815T191950_IFCB110
13,D20160904T030704_IFCB110
13,D20160820T010749_IFCB110
13,D20161015T193257_IFCB110
13,D20161016T050016_IFCB110
13,D20160910T032817_IFCB110
13,D20160907T214748_IFCB110
13,D20161014T190546_IFCB110
13,D20160820T125655_IFCB110
13,D20160828T060139_IFCB110
13,D20161002T022646_IFCB110
13,D20160906T004817_IFCB110
13,D20160927T161927_IFCB110
13,D20161007T221224_IFCB110
13,D20160822T073232_IFCB110
13,D20161015T060749_IFCB110
13,D20160830T190105_IFCB110
13,D20160913T113055_IFCB110
13,D20161004T211752_IFCB110
13,D20160815T163422_IFCB110
13,D20160930T175152_IFCB110
13,D20160906T220613_IFCB110
13,D20160926T223527_IFCB110
13,D20160819T061151_IFCB110
13,D20161015T080601_IFCB110
13,D20160830T190105_IFCB110
13,D20160908T093703_IFCB110
13,D20161011T222549_IFCB110
13,D20160913T205817_IFCB110
13,D20160812T040058_IFCB110
13,D20161005T183554_IFCB110
13,D20160812T152751_IFCB110
13,D20160913T010147_IFCB110
13,D20160813T031709_IFCB110
13,D20160830T054420_IFCB110
13,D20161008T051917_IFCB110
13,D20160831T232432_IFCB110
13,D20161014T142041_IFCB110
13,D20160827T002727_IFCB110
13,D20161005T020136_IFCB110
13,D20160904T075043_IFCB110
13,D20161015T054411_IFCB110
13,D20161010T021651_IFCB110
13,D20160911T004448_IFCB110
13,D20161005T090710_IFCB110
13,D20161008T100256_IFCB110
13,D20161015T085317_IFCB110
13,D20160911T070425_IFCB110
13,D20160913T065632_IFCB110
13,D20161011T015639_IFCB110
13,D20160926T141904_IFCB110
13,D20160820T222537_IFCB110
13,D20160910T200107_IFCB110
13,D20161010T211131_IFCB110
13,D20160902T083127_IFCB110
13,D20160908T045318_IFCB110
13,D20160824T235644_IFCB110
13,D20160910T202446_IFCB110
13,D20160822T161336_IFCB110
13,D20160820T010749_IFCB110
13,D20161014T142041_IFCB110
13,D20160902T224348_IFCB110
13,D20161013T192540_IFCB110
13,D20160929T114651_IFCB110
13,D20161005T231939_IFCB110
13,D20161014T000931_IFCB110
13,D20160911T092615_IFCB110
13,D20160829T122254_IFCB110
13,D20160820T032938_IFCB110
13,D20160818T230623_IFCB110
13,D20160901T155841_IFCB110
13,D20161015T100412_IFCB110
13,D20161003T044256_IFCB110
13,D20161003T211713_IFCB110
13,D20160822T205720_IFCB110
13,D20160913T135244_IFCB110
13,D20160820T055128_IFCB110
13,D20160824T015227_IFCB110
13,D20161015T040937_IFCB110
13,D20160819T105529_IFCB110
13,D20160812T201141_IFCB110
13,D20160910T233353_IFCB110
13,D20161003T141139_IFCB110
13,D20160903T010537_IFCB110
13,D20161005T090710_IFCB110
13,D20161004T211752_IFCB110
13,D20160821T220510_IFCB110
13,D20160901T182031_IFCB110
13,D20161006T014129_IFCB110
13,D20161001T054111_IFCB110
13,D20160929T114651_IFCB110
13,D20160927T135736_IFCB110
13,D20160822T231909_IFCB110
13,D20160831T161859_IFCB110
13,D20161015T094034_IFCB110
13,D20160829T192822_IFCB110
13,D20160901T040811_IFCB110
13,D20161009T094249_IFCB110
13,D20160820T032938_IFCB110
13,D20160902T060937_IFCB110
13,D20161004T064448_IFCB110
13,D20160910T081156_IFCB110
13,D20161013T192540_IFCB110
13,D20161014T190546_IFCB110
13,D20161005T042331_IFCB110
13,D20160824T041417_IFCB110
13,D20160901T063000_IFCB110
13,D20161016T001637_IFCB110
13,D20161004T185602_IFCB110
13,D20160824T235644_IFCB110
13,D20160903T032727_IFCB110
13,D20160907T214748_IFCB110
13,D20160903T222326_IFCB110
13,D20161015T122602_IFCB110
13,D20161006T014129_IFCB110
13,D20161016T120547_IFCB110
13,D20160901T085149_IFCB110
13,D20160824T041417_IFCB110
13,D20161001T080306_IFCB110
13,D20161009T235444_IFCB110
13,D20161011T200359_IFCB110
13,D20160910T211202_IFCB110
13,D20160911T002109_IFCB110
13,D20160926T164053_IFCB110
13,D20160831T135709_IFCB110
13,D20161001T102455_IFCB110
13,D20160820T081317_IFCB110
13,D20160912T073129_IFCB110
13,D20160820T081317_IFCB110
13,D20160927T005716_IFCB110
13,D20160903T103254_IFCB110
13,D20161005T231939_IFCB110
13,D20160903T054916_IFCB110
13,D20161015T043316_IFCB110
13,D20161015T074222_IFCB110
13,D20161003T185523_IFCB110
13,D20161015T080601_IFCB110
13,D20160902T012558_IFCB110
13,D20161007T221224_IFCB110
13,D20160829T170632_IFCB110
13,D20161012T141259_IFCB110
13,D20160907T170514_IFCB110
13,D20160903T200136_IFCB110
13,D20161014T023126_IFCB110
13,D20161011T222549_IFCB110
13,D20160825T162946_IFCB110
13,D20160831T210238_IFCB110
13,D20161005T042331_IFCB110
13,D20160820T103506_IFCB110
13,D20160821T004722_IFCB110
13,D20161002T125650_IFCB110
13,D20160822T135054_IFCB110
13,D20160824T015227_IFCB110
13,D20161002T044837_IFCB110
13,D20160909T134436_IFCB110
13,D20160901T014621_IFCB110
13,D20161002T174103_IFCB110
13,D20160909T185151_IFCB110
13,D20161008T122446_IFCB110
13,D20161005T064521_IFCB110
13,D20160912T165848_IFCB110
13,D20160907T002803_IFCB110
13,D20160911T044235_IFCB110
13,D20160927T161927_IFCB110
13,D20161009T213201_IFCB110
13,D20161004T141218_IFCB110
13,D20161009T142633_IFCB110
13,D20160826T064206_IFCB110
13,D20160813T150740_IFCB110
13,D20161005T090710_IFCB110
13,D20160901T182031_IFCB110
13,D20161014T023126_IFCB110
13,D20160813T102344_IFCB110
13,D20161003T163328_IFCB110
13,D20160812T040058_IFCB110
13,D20160911T185335_IFCB110
13,D20160910T191351_IFCB110
13,D20161011T222549_IFCB110
13,D20160828T082328_IFCB110
13,D20160822T161336_IFCB110
13,D20161008T051917_IFCB110
13,D20160912T192037_IFCB110
13,D20160827T024921_IFCB110
13,D20160819T224600_IFCB110
13,D20161016T142736_IFCB110
13,D20160830T054420_IFCB110
13,D20160927T005716_IFCB110
13,D20161017T135332_IFCB110
13,D20161011T152020_IFCB110
13,D20160828T201235_IFCB110
13,D20161009T213201_IFCB110
13,D20160831T161859_IFCB110
13,D20160911T010826_IFCB110
13,D20161004T185602_IFCB110
13,D20160823T233038_IFCB110
13,D20161006T181906_IFCB110
13,D20161007T053931_IFCB110
13,D20160812T174946_IFCB110
13,D20160812T174946_IFCB110
13,D20161005T020136_IFCB110
13,D20160930T223542_IFCB110
13,D20160912T073129_IFCB110
13,D20160813T150740_IFCB110
13,D20160906T172109_IFCB110
13,D20160910T215919_IFCB110
13,D20160901T085149_IFCB110
13,D20160813T150740_IFCB110
13,D20161008T074107_IFCB110
13,D20160821T101439_IFCB110
13,D20161012T141259_IFCB110
13,D20160825T162946_IFCB110
13,D20161014T000931_IFCB110
13,D20161001T172951_IFCB110
13,D20161008T025728_IFCB110
13,D20161002T093222_IFCB110
13,D20161011T064018_IFCB110
13,D20160902T060937_IFCB110
13,D20160830T032231_IFCB110
13,D20160812T104413_IFCB110
13,D20161005T042331_IFCB110
13,D20161015T074222_IFCB110
13,D20161014T190546_IFCB110
13,D20161005T205749_IFCB110
13,D20161010T114413_IFCB110
13,D20160914T182637_IFCB110
13,D20161007T005552_IFCB110
13,D20161002T125650_IFCB110
13,D20161001T195141_IFCB110
13,D20160824T235644_IFCB110
13,D20161015T100412_IFCB110
13,D20161016T094356_IFCB110
13,D20161006T133527_IFCB110
13,D20160820T125655_IFCB110
13,D20161009T142633_IFCB110
13,D20160828T033950_IFCB110
13,D20160912T165848_IFCB110
13,D20161014T115851_IFCB110
13,D20160825T114557_IFCB110
13,D20161002T044837_IFCB110
13,D20161016T142736_IFCB110
13,D20160826T194224_IFCB110
13,D20161016T120547_IFCB110
13,D20160911T070425_IFCB110
13,D20160819T083340_IFCB110
13,D20160827T024921_IFCB110
13,D20160821T101439_IFCB110
13,D20160901T230409_IFCB110
13,D20160913T021243_IFCB110
13,D20160823T233038_IFCB110
13,D20161002T174103_IFCB110
13,D20160928T200111_IFCB110
13,D20160906T123725_IFCB110
13,D20161002T200253_IFCB110
13,D20160831T113356_IFCB110
13,D20161015T054411_IFCB110
13,D20160911T002109_IFCB110
13,D20161005T161404_IFCB110
13,D20160910T222258_IFCB110
13,D20160823T233038_IFCB110
13,D20160830T212254_IFCB110
13,D20160908T023128_IFCB110
13,D20161004T185602_IFCB110
13,D20161001T172951_IFCB110
13,D20161007T031741_IFCB110
13,D20160913T113055_IFCB110
13,D20160906T031006_IFCB110
13,D20161002T093222_IFCB110
13,D20160819T035001_IFCB110
13,D20160903T200136_IFCB110
13,D20161015T122602_IFCB110
13,D20160812T152751_IFCB110
13,D20160929T004501_IFCB110
13,D20161015T045654_IFCB110
13,D20160829T144443_IFCB110
13,D20160901T111339_IFCB110
13,D20160819T180057_IFCB110
13,D20160827T002727_IFCB110
13,D20160812T082059_IFCB110
13,D20161006T014129_IFCB110
13,D20160912T095319_IFCB110
13,D20161016T165050_IFCB110
13,D20161002T071032_IFCB110
13,D20160913T135244_IFCB110
13,D20160818T230623_IFCB110
13,D20160819T083340_IFCB110
13,D20160908T190433_IFCB110
13,D20160908T164235_IFCB110
13,D20161008T074107_IFCB110
13,D20160830T141725_IFCB110
13,D20161001T054111_IFCB110
13,D20160927T135736_IFCB110
13,D20160911T114805_IFCB110
13,D20161014T190546_IFCB110
13,D20160912T002431_IFCB110
13,D20161001T054111_IFCB110
13,D20160902T105316_IFCB110
13,D20160827T024921_IFCB110
13,D20161001T080306_IFCB110
13,D20161011T090207_IFCB110
13,D20160906T220613_IFCB110
13,D20160822T231909_IFCB110
13,D20160822T002659_IFCB110
13,D20161011T222549_IFCB110
13,D20160907T170514_IFCB110
13,D20161010T021651_IFCB110
13,D20161003T211713_IFCB110
13,D20160825T044023_IFCB110
13,D20160906T194259_IFCB110
13,D20160927T184122_IFCB110
13,D20160906T075346_IFCB110
13,D20161006T181906_IFCB110
13,D20160824T041417_IFCB110
13,D20161008T144635_IFCB110
13,D20160906T053156_IFCB110
13,D20161013T214736_IFCB110
13,D20160928T222301_IFCB110
13,D20160812T174946_IFCB110
13,D20161010T184941_IFCB110
13,D20161015T063127_IFCB110
13,D20161017T043538_IFCB110
13,D20160822T183531_IFCB110
13,D20160827T002727_IFCB110
13,D20160913T021243_IFCB110
13,D20161014T023126_IFCB110
13,D20161011T174210_IFCB110
13,D20160820T032938_IFCB110
13,D20161003T233903_IFCB110
13,D20161006T110853_IFCB110
13,D20161010T092219_IFCB110
13,D20160903T173947_IFCB110
13,D20160910T165200_IFCB110
13,D20160914T142912_IFCB110
13,D20160903T081105_IFCB110
13,D20160829T122254_IFCB110
13,D20160912T002431_IFCB110
13,D20160821T145818_IFCB110
13,D20160828T201235_IFCB110
13,D20160901T204220_IFCB110
13,D20161015T065506_IFCB110
13,D20160913T161433_IFCB110
13,D20160823T233038_IFCB110
13,D20161002T121755_IFCB110
13,D20161002T115417_IFCB110
13,D20160830T190105_IFCB110
13,D20161005T161404_IFCB110
13,D20161004T042253_IFCB110
13,D20161007T102315_IFCB110
13,D20160822T024848_IFCB110
13,D20160910T032817_IFCB110
13,D20161002T022646_IFCB110
13,D20161002T071032_IFCB110
13,D20160906T145919_IFCB110
13,D20160813T102344_IFCB110
13,D20160907T002803_IFCB110
13,D20160911T211525_IFCB110
13,D20160819T061151_IFCB110
13,D20161016T001637_IFCB110
13,D20161004T233941_IFCB110
13,D20160824T015227_IFCB110
13,D20160825T070212_IFCB110
13,D20160910T204824_IFCB110
13,D20160908T071508_IFCB110
13,D20160906T101535_IFCB110
13,D20161007T172845_IFCB110
13,D20161016T001637_IFCB110
13,D20161010T114413_IFCB110
13,D20160910T193729_IFCB110
13,D20161006T155716_IFCB110
13,D20160826T194224_IFCB110
13,D20161007T053931_IFCB110
13,D20160919T162849_IFCB110
13,D20161009T094249_IFCB110
13,D20160826T090406_IFCB110
13,D20161014T071511_IFCB110
13,D20161002T044837_IFCB110
13,D20161008T122446_IFCB110
13,D20160825T044023_IFCB110
13,D20160911T004448_IFCB110
13,D20160813T124551_IFCB110
13,D20160901T133652_IFCB110
13,D20161011T041829_IFCB110
13,D20161001T031921_IFCB110
13,D20161008T003538_IFCB110
13,D20160825T140751_IFCB110
13,D20160910T211202_IFCB110
13,D20160911T092615_IFCB110
13,D20161004T163407_IFCB110
13,D20161010T021651_IFCB110
13,D20160823T210848_IFCB110
13,D20160825T070212_IFCB110
13,D20160913T161433_IFCB110
13,D20160906T145919_IFCB110
13,D20160927T195216_IFCB110
13,D20160813T102344_IFCB110
13,D20160909T185151_IFCB110
